ID,是否出包,游戏名,游戏根目录
1,FALSE,猪猪侠,/Users/luogan/Documents/workspace/ude3/prj.game08
2,FALSE,海底宠物,/Users/luogan/Documents/workspace/ude2/prj.game00_001/client/frameworks/runtime-src
3,FALSE,巴啦啦夏日清凉美甲,/Users/luogan/Documents/workspace/ude2/prj.game94_006/client/frameworks/runtime-src
4,FALSE,巴啦啦夏日火辣汉堡,/Users/luogan/Documents/workspace/ude2/prj.game94_007/client/frameworks/runtime-src
5,FALSE,巴啦啦海滩冰淇淋,/Users/luogan/Documents/workspace/ude2/prj.game94_008/client/frameworks/runtime-src
6,FALSE,巴啦啦冰爽蛋糕,/Users/luogan/Documents/workspace/ude2/prj.game94_009/client/frameworks/runtime-src
7,FALSE,巴啦啦甜甜圈,/Users/luogan/Documents/workspace/ude2/prj.game94_010/client/frameworks/runtime-src
8,FALSE,巴啦啦美甲达人,/Users/luogan/Documents/workspace/ude2/prj.game03_001/client/frameworks/runtime-src
9,FALSE,巴啦啦小魔仙美图找茬,/Users/luogan/Documents/workspace/ude2/prj.game89_001/client/frameworks/runtime-src
10,FALSE,巴啦啦魔法欢乐派对,/Users/luogan/Documents/workspace/ude2/prj.game89_002/client/frameworks/runtime-src
11,FALSE,开心西游大闹东海龙宫,/Users/luogan/Documents/workspace/ude2/prj.game89_003/client/frameworks/runtime-src
12,FALSE,巴啦啦疯狂魔法动物园,/Users/luogan/Documents/workspace/ude2/prj.game89_004/client/frameworks/runtime-src
13,FALSE,巴啦啦古装换装大师,/Users/luogan/Documents/workspace/ude2/prj.game09_002/client/frameworks/runtime-src
14,FALSE,巴啦啦小魔仙魔箭小公主97系列,/Users/luogan/Documents/workspace/ude2/prj.balala3/client/frameworks/runtime-src
15,FALSE,巴啦啦魔法美妆2,/Users/luogan/Documents/workspace/ude2/prj.game12/client/frameworks/runtime-src
16,FALSE,巴啦啦小魔仙-美味蛋糕,/Users/luogan/Documents/workspace/ude4/prj.balala/client_cake/frameworks/runtime-src
17,FALSE,巴啦啦小魔仙-魔法美甲,/Users/luogan/Documents/workspace/ude4/prj.balala/client_manicure/frameworks/runtime-src
18,FALSE,巴啦啦小魔仙-冰凉冰淇淋,/Users/luogan/Documents/workspace/ude4/prj.balala/client_icecream/frameworks/runtime-src
19,FALSE,巴啦啦小魔仙-飘香汉堡,/Users/luogan/Documents/workspace/ude4/prj.balala/client_hamburger/frameworks/runtime-src
20,FALSE,巴啦啦魔法变身3,/Users/luogan/Documents/workspace/ude2/prj.game09/client/frameworks/runtime-src
21,FALSE,巴啦啦爱烧烤,/Users/luogan/Documents/workspace/ude2/prj.game94_005/client/frameworks/runtime-src
22,FALSE,巴啦啦公主鞋,/Users/luogan/Documents/workspace/ude2/prj.game06_001/client/frameworks/runtime-src
23,FALSE,巴啦啦换装日记,/Users/luogan/Documents/workspace/ude2/prj.game02_001/client/frameworks/runtime-src
24,FALSE,巴啦啦换装物语,/Users/luogan/Documents/workspace/ude2/prj.balala4/client/frameworks/runtime-src
25,FALSE,巴啦啦美味披萨,/Users/luogan/Documents/workspace/ude2/prj.game94_004/client/frameworks/runtime-src
26,FALSE,巴啦啦魔法美甲2,/Users/luogan/Documents/workspace/ude2/prj.game03/client_manicure/frameworks/runtime-src
27,FALSE,开心西游贪吃蛇,/Users/luogan/Documents/workspace/ude2/prj.game89_005/client/frameworks/runtime-src
28,FALSE,Ocean_Guardians,/Users/luogan/Documents/workspace/ude2/prj.game00_003/client/frameworks/runtime-src
29,TRUE,叶罗丽水晶美甲,/Users/luogan/Documents/workspace/ude2/prj.game94_011/client/frameworks/runtime-src
30,TRUE,叶罗丽美妆仙境,/Users/luogan/Documents/workspace/ude2/prj.game94_012/client/frameworks/runtime-src
31,TRUE,精灵梦叶罗丽汉堡屋,/Users/luogan/Documents/workspace/ude2/prj.game94_013/client/frameworks/runtime-src
32,TRUE,叶罗丽魔法冰淇淋,/Users/luogan/Documents/workspace/ude2/prj.game94_014/client/frameworks/runtime-src
33,TRUE,叶罗丽梦幻BBQ,/Users/luogan/Documents/workspace/ude2/prj.game94_017/client/frameworks/runtime-src
34,TRUE,叶罗丽蛋糕店,/Users/luogan/Documents/workspace/ude2/prj.game94_015/client/frameworks/runtime-src
35,TRUE,叶罗丽必胜披萨,/Users/luogan/Documents/workspace/ude2/prj.game94_016/client/frameworks/runtime-src
36,TRUE,叶罗丽哆啦甜甜圈,/Users/luogan/Documents/workspace/ude2/prj.game94_018/client/frameworks/runtime-src
37,FALSE,巴啦啦异世界换装之旅,/Users/luogan/Documents/workspace/ude2/prj.game09_001/client/frameworks/runtime-src
38,FALSE,叶罗丽动物城堡,/Users/luogan/Documents/workspace/ude2/prj.game94_020/client/frameworks/runtime-src
39,FALSE,巴啦啦装扮小公主,/Users/luogan/Documents/workspace/ude2/prj.game12_001/client/frameworks/runtime-src
40,FALSE,叶罗丽奇幻海洋,/Users/luogan/Documents/workspace/ude2/prj.game94_021/client/frameworks/runtime-src
41,FALSE,叶罗丽换装物语,/Users/luogan/Documents/workspace/ude2/prj.game94_022/client/frameworks/runtime-src
42,FALSE,叶罗丽美甲日记,/Users/luogan/Documents/workspace/ude2/prj.game94_023/client/frameworks/runtime-src
43,FALSE,叶罗丽公主水晶鞋,/Users/luogan/Documents/workspace/ude2/prj.game16/client/frameworks/runtime-src
44,FALSE,叶罗丽魔幻公主鞋,/Users/luogan/Documents/workspace/ude2/prj.game94_024/client/frameworks/runtime-src
45,FALSE,叶罗丽穿越换装之旅,/Users/luogan/Documents/workspace/ude2/prj.game94_025/client/frameworks/runtime-src
46,FALSE,叶罗丽异世界变身日记/,/Users/luogan/Documents/workspace/ude2/prj.game94_026/client/frameworks/runtime-src
47,FALSE,prj.game17,/Users/sanhaojileishou/workspace/ude2/prj.game17/client/frameworks/runtime-src
